"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$46,401,135,345","0.92%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,419,989,880","0.00%","USA","Analyze"
"MELI","Mercadolibre Inc","Common stocks","Large cap","Consumer Discretionary","$43,569,459,908","0.00%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$43,287,948,069","0.00%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,860,093,754","3.09%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$42,115,419,097","0.00%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$41,979,934,180","2.58%","USA","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$40,974,404,379","2.12%","The Netherlands","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$40,590,180,971","0.00%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$39,898,825,103","1.07%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$39,744,387,504","0.00%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$38,778,380,212","0.00%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$38,748,113,620","1.63%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$38,619,326,363","2.74%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$38,444,624,101","0.00%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$34,286,405,219","1.36%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$33,986,422,814","0.00%","USA","Analyze"
"ABNB","Airbnb, Inc.","Common stocks","Large cap","Consumer Discretionary","$33,942,574,934","0.00%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$33,893,580,000","0.00%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$33,734,243,792","0.60%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$32,311,663,598","5.02%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$32,020,746,625","0.00%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$31,717,972,000","0.00%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$31,661,823,233","0.42%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$31,587,616,960","0.00%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$31,363,632,000","0.65%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$29,360,331,410","1.88%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$29,222,823,080","2.48%","USA","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$28,375,342,749","0.65%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$27,846,438,377","0.69%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$27,240,459,893","2.58%","USA","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$23,985,086,074","2.03%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$23,833,803,341","0.00%","USA","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$22,899,774,421","0.00%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$22,825,726,885","0.00%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$22,694,003,018","2.09%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$22,637,106,335","1.53%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$21,594,166,057","0.00%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$21,217,055,957","0.00%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$19,227,951,216","0.00%","United Kingdom","Analyze"
"RIVN","Rivian Automotive, Inc.  Class A","Common stocks","Large cap","Consumer Discretionary","$17,102,939,978","0.00%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$17,066,310,472","0.00%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$16,570,754,141","0.00%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$16,133,021,834","0.00%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$14,576,976,320","0.00%","USA","Analyze"
"LCID","Lucid Group, Inc.","Common stocks","Large cap","Consumer Discretionary","$11,258,888,303","0.00%","USA","Analyze"
